"Text Editing","Universal Argument","Ctrl+0","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Text Editing","Apply Macro To Region Lines","Ctrl+X Ctrl+K R","Editing Text"
"Text Editing","Lowercase","Alt+L","Editing Text"
"Text Editing","Eval Expression","Shift+Alt+;","In Windows"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Text Editing","Forward Character","Shift+Ctrl+F","Editing Text"
"File","Print","Esc F9","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Run/Debug","Run to Line","Ctrl+C Ctrl+U","Debugging"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Text Editing","Scroll Down","Shift+Alt+V","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"File","Rename","F2","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Join Other Frames","Ctrl+X 5 1","Editing Text"
"Text Editing","Switch to Buffer Other Frame","Ctrl+X 5 B","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Text Editing","Display Buffer Other Window","Ctrl+X 4 Ctrl+O","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Regexp I-Search forward","Ctrl+Alt+S","Editing Text"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Text Editing","Switch to Buffer Other Window","Ctrl+X 4 B","In Windows"
"Navigate","Open Declaration","Esc .","Editing Java Source"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Text Editing","Make Frame","Ctrl+X 5 2","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Text Editing","Set Mark Command","Ctrl+Space","Editing Text"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Mark Paragraph","Alt+H","Editing Text"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Edit","Undo","Ctrl+X U","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+6","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Describe Variable","Ctrl+H V","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Text Editing","Just One Space","Alt+Space","Editing Text"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Edit","Backward Sexp","Esc Alt+Left","Editing Text"
"Text Editing","Comment Previous","Esc P","Editing Java Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Text Editing","Pop Tag Mark","Shift+Alt+8","Editing Text"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","End Buffer Other Window","Alt+End","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Name Last Kbd Macro","Ctrl+X Ctrl+K N","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Edit","Select Enclosing Element","Ctrl+Alt+U","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Forward Paragraph","Shift+Ctrl+Down","Editing Text"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Edit","Redo","F10","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+X Space","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Text Editing","Other Window","Ctrl+X O","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Scroll Other Window","Ctrl+Alt+V","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Indent Rigidly","Ctrl+X Tab","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"File","Save All","Ctrl+X S","In Windows"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Next Line","Down","Editing Text"
"Text Editing","Eval Expression","Esc Shift+;","In Windows"
"Text Editing","Describe Command","Ctrl+H D","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Window","Update Project","Alt+F5","In Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+-","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Begin Line","Home","Editing Text"
"Edit","Forward Sexp","Esc Alt+Right","Editing Text"
"Text Editing","Other Frame","Ctrl+X 5 O","Editing Text"
"Text Editing","Describe Key Briefly","Ctrl+H C","Editing Text"
"gazonk.del","Delete Previous Word","Esc Backspace","In Console View"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Text Editing","Yank","Ctrl+Y","Editing Text"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Transpose Characters","Ctrl+T","Editing Text"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Edit","Forward Sexp","Esc Ctrl+Right","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Switch to Buffer","Ctrl+X B","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"File","Close","Ctrl+X K","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Edit","Backward Sexp","Esc Ctrl+Left","Editing Text"
"Text Editing","Undo+","Ctrl+X U","Editing Text"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Text Editing","Down List","Ctrl+Alt+Down","Editing Text"
